PPP (D),7/15 - 7/17,730 RV,3.6,--,20,6,9,Romney +11
ABC News/Wash Post,7/14 - 7/17,RV,5.5,2,26,4,7,Romney +19
NBC News/Wall St. Jrnl,7/14 - 7/17,RV,--,3,30,8,9,Romney +21
Quinnipiac,7/5 - 7/11,913 RV,3.2,1,25,5,5,Romney +20
FOX News,6/26 - 6/28,324 RV,5.5,2,18,3,7,Romney +11
McClatchy/Marist,6/15 - 6/23,308 RV,5.5,1,19,2,5,Romney +14
Rasmussen Reports,6/14 - 6/14,1000 LV,3.0,6,33,9,7,Romney +24
NBC News/Wall St. Jrnl,6/9 - 6/13,RV,3.1,4,30,6,7,Romney +23
PPP (D),6/9 - 6/12,544 RV,4.2,--,22,9,7,Romney +13
Gallup,6/8 - 6/11,851 RV,4.0,6,24,5,7,Romney +17
FOX News,6/5 - 6/7,338 LV,5.5,4,23,7,5,Romney +16
Reuters/Ipsos,6/3 - 6/6,621 A,4.6,--,18,4,8,Romney +10
CNN/Opinion Research,6/3 - 6/7,433 A,4.5,1,24,10,7,Romney +14
ABC News/Wash Post*,6/2 - 6/5,A,3.5,1,21,6,6,Romney +15
Quinnipiac,5/31 - 6/6,830 RV,3.4,4,25,8,8,Romney +17
CNN/Opinion Research,5/24 - 5/26,473 A,4.5,2,15,8,12,Romney +3
PPP (D),5/23 - 5/25,574 RV,4.1,--,16,9,9,Romney +7
Gallup,5/20 - 5/24,971 A,4.0,2,17,9,10,Romney +7
PPP (D),5/5 - 5/8,610 RV,4.0,--,24,20,12,Romney +4
CNN/Opinion Research,4/29 - 5/1,475 A,4.5,2,13,10,10,Romney +3
Quinnipiac,4/26 - 5/1,1408 RV,2.6,1,18,5,5,Romney +13
FOX News,4/25 - 4/27,322 RV,6.0,3,19,7,7,Romney +12
Rasmussen Reports,4/26 - 4/26,500 LV,3.0,--,17,9,8,Romney +8
Gallup,4/15 - 4/20,1047 A,4.0,2,13,6,6,Romney +7
ABC News/Wash Post**,4/14 - 4/17,A,3.5,--,16,2,2,Romney +14
McClatchy/Marist,4/10 - 4/14,468 RV,4.5,2,18,4,7,Romney +11
CNN/Opinion Research,4/9 - 4/10,385 A,5.0,2,11,11,7,Tie
PPP (D),4/7 - 4/10,400 RV,4.9,--,15,11,5,Romney +4
FOX News,4/3 - 4/5,344 RV,5.0,2,14,7,3,Romney +7
NBC News/Wall St. Jrnl,3/31 - 4/4,238 RV,--,3,21,11,--,Romney +10
Gallup,3/18 - 3/22,1082 A,4.0,2,15,10,6,Romney +5
CNN/Opinion Research,3/11 - 3/13,504 A,4.5,3,18,14,8,Romney +4
Pew Research,3/8 - 3/14,538 RV,4.0,2,21,11,8,Romney +10
PPP (D),3/10 - 3/13,600 RV,4.1,--,17,14,9,Romney +3
NBC News/Wall St. Jrnl,2/24 - 2/28,282 RV,--,2,21,13,6,Romney +8
Gallup,2/18 - 2/20,1326 RV,3.0,2,16,9,5,Romney +7
Newsweek/Daily Beast,2/12 - 2/15,LV,3.5,--,19,7,--,Romney +12
PPP (D),2/11 - 2/13,400 RV,4.9,--,17,12,8,Romney +5
CNN/Opinion Research,1/21 - 1/23,479 A,4.5,1,18,10,7,Romney +8
Rasmussen Reports,1/18 - 1/18,1000 LV,3.0,--,24,11,4,Romney +13
NBC News/Wall St. Jrnl,1/13 - 1/17,1000 A,3.1,3,19,10,8,Romney +9
PPP (D),1/14 - 1/16,515 RV,4.3,--,14,11,7,Romney +3
ABC News/Wash Post,1/13 - 1/16,425 A,5.0,1,17,9,--,Romney +8
Clarus Research,12/10 - 12/16,365 RV,5.1,--,19,10,4,Romney +9
PPP (D),11/19 - 11/21,400 RV,4.9,--,18,19,5,Gingrich +1
McClatchy/Marist,11/15 - 11/18,337 RV,5.5,--,20,10,--,Romney +10
Gallup,11/13 - 11/14,925 A,4.0,1,19,13,6,Romney +6
Quinnipiac,11/8 - 11/15,RV,--,--,18,15,--,Romney +3
Rasmussen Reports,11/1 - 11/1,1000 LV,3.0,--,20,13,5,Romney +7
CNN/Opinion Research,10/27 - 10/30,500 A,4.5,2,20,12,7,Romney +8
Gallup,9/25 - 9/26,906 A,4.0,2,19,9,7,Romney +10
McClatchy/Marist,9/14 - 9/16,369 RV,5.0,--,25,16,--,Romney +9
PPP (D),9/10 - 9/13,419 RV,4.8,--,22,18,6,Romney +4
CNN/Opinion Research,8/6 - 8/10,494 A,4.5,2,21,15,10,Romney +6
PPP (D),8/6 - 8/9,400 RV,4.9,--,22,21,4,Romney +1
Clarus Research,7/26 - 7/27,374 RV,5.0,--,26,14,--,Romney +12
Time,7/12 - 7/13,260 A,--,--,18,12,--,Romney +6
PPP (D),7/9 - 7/12,400 RV,4.9,--,19,23,7,Gingrich +4
PPP (D),6/4 - 6/7,401 RV,4.9,--,25,15,6,Romney +10
PPP (D),5/7 - 5/9,539 RV,4.2,--,23,21,8,Romney +2
PPP (D),4/9 - 4/11,400 RV,4.9,--,33,--,--,Romney +33
CNN/Opinion Research,4/9 - 4/11,498 A,4.5,3,20,14,8,Romney +6
CNN/Opinion Research,3/19 - 3/21,498 A,4.5,5,22,8,8,Romney +14
Clarus Research,3/17 - 3/20,415 RV,--,--,29,13,--,Romney +16
PPP (D),3/12 - 3/14,614 RV,4.0,--,28,--,11,Romney +17
Gallup,2/1 - 2/3,490 RV,5.0,--,14,3,2,Romney +11
ABC News/Wash Post,11/19 - 11/23,804 A,3.0,--,9,2,1,Romney +7
CNN/Opinion Research,10/16 - 10/18,462 A,4.5,--,21,--,--,Romney +21
Rasmussen Reports,10/15 - 10/15,750 LV,4.0,--,24,14,--,Romney +10
Clarus Research,8/14 - 8/18,353 LV,--,--,30,15,--,Romney +15
Marist,8/3 - 8/6,310 RV,5.5,--,21,10,--,Romney +11
FOX News,7/21 - 7/22,303 RV,6.0,--,22,9,--,Romney +13
ABC News/Wash Post,7/15 - 7/18,A,--,--,21,10,--,Romney +11
Gallup,7/10 - 7/12,455 A,5.0,--,26,14,--,Romney +12
Rasmussen Reports,7/6 - 7/6,750 LV,4.0,--,25,14,--,Romney +11
CNN/Opinion Research,5/14 - 5/17,448 A,4.5,--,21,13,--,Romney +8
FOX News,5/12 - 5/13,274 RV,6.0,--,18,14,--,Romney +4
CNN/Opinion Research,2/18 - 2/19,429 A,4.5,--,21,--,--,Romney +21
Rasmussen Reports,11/5 - 11/5,1000 LV,3.0,--,11,--,--,Romney +11
